city_key,pref_code,pref_name,city_code,city_name
11700,1,北海道,1700,蘂取村
22000,2,青森県,2000,
22201,2,青森県,2201,青森市
22202,2,青森県,2202,弘前市
22203,2,青森県,2203,八戸市
22204,2,青森県,2204,黒石市
22205,2,青森県,2205,五所川原市
22206,2,青森県,2206,十和田市
22207,2,青森県,2207,三沢市
22208,2,青森県,2208,むつ市
22209,2,青森県,2209,つがる市
22210,2,青森県,2210,平川市
22301,2,青森県,2301,平内町
22303,2,青森県,2303,今別町
22304,2,青森県,2304,蓬田村
22307,2,青森県,2307,外ヶ浜町
22321,2,青森県,2321,鰺ヶ沢町
22323,2,青森県,2323,深浦町
22343,2,青森県,2343,西目屋村
22361,2,青森県,2361,藤崎町
22362,2,青森県,2362,大鰐町
22367,2,青森県,2367,田舎館村
22381,2,青森県,2381,板柳町
22384,2,青森県,2384,鶴田町
22387,2,青森県,2387,中泊町
22401,2,青森県,2401,野辺地町
22402,2,青森県,2402,七戸町
22405,2,青森県,2405,六戸町
22406,2,青森県,2406,横浜町
22408,2,青森県,2408,東北町
22411,2,青森県,2411,六ヶ所村
22412,2,青森県,2412,おいらせ町
22423,2,青森県,2423,大間町
22424,2,青森県,2424,東通村
22425,2,青森県,2425,風間浦村
22426,2,青森県,2426,佐井村
22441,2,青森県,2441,三戸町
22442,2,青森県,2442,五戸町
22443,2,青森県,2443,田子町
22445,2,青森県,2445,南部町
22446,2,青森県,2446,階上町
22450,2,青森県,2450,新郷村
33000,3,岩手県,3000,
33201,3,岩手県,3201,盛岡市
33202,3,岩手県,3202,宮古市
33203,3,岩手県,3203,大船渡市
33205,3,岩手県,3205,花巻市
33206,3,岩手県,3206,北上市
33207,3,岩手県,3207,久慈市
33208,3,岩手県,3208,遠野市
33209,3,岩手県,3209,一関市
33210,3,岩手県,3210,陸前高田市
33211,3,岩手県,3211,釜石市
33213,3,岩手県,3213,二戸市
33214,3,岩手県,3214,八幡平市
33215,3,岩手県,3215,奥州市
33216,3,岩手県,3216,滝沢市
33301,3,岩手県,3301,雫石町
33302,3,岩手県,3302,葛巻町
33303,3,岩手県,3303,岩手町
33321,3,岩手県,3321,紫波町
33322,3,岩手県,3322,矢巾町
33366,3,岩手県,3366,西和賀町
33381,3,岩手県,3381,金ケ崎町
33402,3,岩手県,3402,平泉町
33441,3,岩手県,3441,住田町
33461,3,岩手県,3461,大槌町
33482,3,岩手県,3482,山田町
33483,3,岩手県,3483,岩泉町
33484,3,岩手県,3484,田野畑村
33485,3,岩手県,3485,普代村
33501,3,岩手県,3501,軽米町
33503,3,岩手県,3503,野田村
33506,3,岩手県,3506,九戸村
