date_key,date,is_holiday,holiday_name,holiday_category
19671123,1967-11-23,True,勤労感謝の日,国民の祝日
19680101,1968-01-01,True,元日,国民の祝日
19680115,1968-01-15,True,成人の日,国民の祝日
19680211,1968-02-11,True,建国記念の日,国民の祝日
19680320,1968-03-20,True,春分の日,国民の祝日
19680429,1968-04-29,True,天皇誕生日,国民の祝日
19680503,1968-05-03,True,憲法記念日,国民の祝日
19680505,1968-05-05,True,こどもの日,国民の祝日
19680915,1968-09-15,True,敬老の日,国民の祝日
19680923,1968-09-23,True,秋分の日,国民の祝日
19681010,1968-10-10,True,体育の日,国民の祝日
19681103,1968-11-03,True,文化の日,国民の祝日
19681123,1968-11-23,True,勤労感謝の日,国民の祝日
19690101,1969-01-01,True,元日,国民の祝日
19690115,1969-01-15,True,成人の日,国民の祝日
19690211,1969-02-11,True,建国記念の日,国民の祝日
19690321,1969-03-21,True,春分の日,国民の祝日
19690429,1969-04-29,True,天皇誕生日,国民の祝日
19690503,1969-05-03,True,憲法記念日,国民の祝日
19690505,1969-05-05,True,こどもの日,国民の祝日
19690915,1969-09-15,True,敬老の日,国民の祝日
19690923,1969-09-23,True,秋分の日,国民の祝日
19691010,1969-10-10,True,体育の日,国民の祝日
19691103,1969-11-03,True,文化の日,国民の祝日
19691123,1969-11-23,True,勤労感謝の日,国民の祝日
19700101,1970-01-01,True,元日,国民の祝日
19700115,1970-01-15,True,成人の日,国民の祝日
19700211,1970-02-11,True,建国記念の日,国民の祝日
19700321,1970-03-21,True,春分の日,国民の祝日
19700429,1970-04-29,True,天皇誕生日,国民の祝日
19700503,1970-05-03,True,憲法記念日,国民の祝日
19700505,1970-05-05,True,こどもの日,国民の祝日
19700915,1970-09-15,True,敬老の日,国民の祝日
19700923,1970-09-23,True,秋分の日,国民の祝日
19701010,1970-10-10,True,体育の日,国民の祝日
19701103,1970-11-03,True,文化の日,国民の祝日
19701123,1970-11-23,True,勤労感謝の日,国民の祝日
19710101,1971-01-01,True,元日,国民の祝日
19710115,1971-01-15,True,成人の日,国民の祝日
19710211,1971-02-11,True,建国記念の日,国民の祝日
19710321,1971-03-21,True,春分の日,国民の祝日
19710429,1971-04-29,True,天皇誕生日,国民の祝日
19710503,1971-05-03,True,憲法記念日,国民の祝日
19710505,1971-05-05,True,こどもの日,国民の祝日
19710915,1971-09-15,True,敬老の日,国民の祝日
19710924,1971-09-24,True,秋分の日,国民の祝日
19711010,1971-10-10,True,体育の日,国民の祝日
19711103,1971-11-03,True,文化の日,国民の祝日
19711123,1971-11-23,True,勤労感謝の日,国民の祝日
19720101,1972-01-01,True,元日,国民の祝日
19720115,1972-01-15,True,成人の日,国民の祝日
19720211,1972-02-11,True,建国記念の日,国民の祝日
19720320,1972-03-20,True,春分の日,国民の祝日
19720429,1972-04-29,True,天皇誕生日,国民の祝日
19720503,1972-05-03,True,憲法記念日,国民の祝日
19720505,1972-05-05,True,こどもの日,国民の祝日
19720915,1972-09-15,True,敬老の日,国民の祝日
19720923,1972-09-23,True,秋分の日,国民の祝日
19721010,1972-10-10,True,体育の日,国民の祝日
19721103,1972-11-03,True,文化の日,国民の祝日
19721123,1972-11-23,True,勤労感謝の日,国民の祝日
19730101,1973-01-01,True,元日,国民の祝日
19730115,1973-01-15,True,成人の日,国民の祝日
19730211,1973-02-11,True,建国記念の日,国民の祝日
19730321,1973-03-21,True,春分の日,国民の祝日
19730429,1973-04-29,True,天皇誕生日,国民の祝日
19730430,1973-04-30,True,休日,国民の祝日
19730503,1973-05-03,True,憲法記念日,国民の祝日
19730505,1973-05-05,True,こどもの日,国民の祝日
19730915,1973-09-15,True,敬老の日,国民の祝日
19730923,1973-09-23,True,秋分の日,国民の祝日
19730924,1973-09-24,True,休日,国民の祝日
19731010,1973-10-10,True,体育の日,国民の祝日
19731103,1973-11-03,True,文化の日,国民の祝日
19731123,1973-11-23,True,勤労感謝の日,国民の祝日
19740101,1974-01-01,True,元日,国民の祝日
19740115,1974-01-15,True,成人の日,国民の祝日
19740211,1974-02-11,True,建国記念の日,国民の祝日
19740321,1974-03-21,True,春分の日,国民の祝日
19740429,1974-04-29,True,天皇誕生日,国民の祝日
19740503,1974-05-03,True,憲法記念日,国民の祝日
19740505,1974-05-05,True,こどもの日,国民の祝日
19740506,1974-05-06,True,休日,国民の祝日
19740915,1974-09-15,True,敬老の日,国民の祝日
19740916,1974-09-16,True,休日,国民の祝日
19740923,1974-09-23,True,秋分の日,国民の祝日
19741010,1974-10-10,True,体育の日,国民の祝日
19741103,1974-11-03,True,文化の日,国民の祝日
19741104,1974-11-04,True,休日,国民の祝日
19741123,1974-11-23,True,勤労感謝の日,国民の祝日
19750101,1975-01-01,True,元日,国民の祝日
19750115,1975-01-15,True,成人の日,国民の祝日
